bentuk_pendidikan,nama,npsn,status,alamat,desa,kecamatan,lintang,bujur
TK,TK SHANTI KUMARA AYUNAN,50104759,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK SINGASARI I,50104765,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK SINGASARI II,50104766,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK SRIKANDI,50104767,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK TUNAS WIDYA KUMARA,69878324,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK UDYANA KUMARA I TAMAN,50104782,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK Udyana Kumara II Taman,69934119,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK UDYANA KUMARA III TAMAN,50104781,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK WANDIRA KUMARA I MAMBAL,50104784,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK WANDIRA KUMARA II MAMBAL,50104785,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK WERDHI KUMARA,50104788,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK WIDYA KUMARA,50104793,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK WIDYA KUMARAYASA,50105580,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK WIDYA SARI,50104805,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TK,TK. ADNYANI,69974420,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
TPA,TPA. ADNYANI,69974419,Swasta,-,NULL,Abiansemal,-8.603966,115.1770912
KB,Kartika Pradnya Kumara,69878342,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB JALAK,70000738,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB JEMBATAN BUDAYA,69950472,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB LILA PRABATA,69878345,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB Paud Scuola Dell Infanzia Don Domenico Masi,70030156,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB SISWA INDAH PRIMA,69878344,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB. BLUE DOLPHIN PLAYSKOOL,70035981,Swasta,-,NULL,Kuta,-8.603966,115.1770912
KB,KB. WIPARA,69965975,Swasta,-,NULL,Kuta,-8.603966,115.1770912
PKBM,PKBM META MORPHOO ACADEMY,P9998303,Swasta,-,NULL,Kuta,-8.603966,115.1770912
SMP,SMP NEGERI 1 KUTA,50101651,Negeri,-,NULL,Kuta,-8.603966,115.1770912
SMP,SMP NEGERI 2 KUTA,50101642,Negeri,-,NULL,Kuta,-8.603966,115.1770912
SMP,SMP Negeri 3 Kuta,69979067,Negeri,-,NULL,Kuta,-8.603966,115.1770912
SMP,SMP ANGKASA,50101624,Swasta,-,NULL,Kuta,-8.603966,115.1770912
SMP,SMP Jembatan Budaya,50103607,Swasta,-,NULL,Kuta,-8.603966,115.1770912
